,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra And Nagar Haveli And Daman And Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu And Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Other,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Temp_Max,0.5694173897228587,0.1719295859927302,0.8454634327177281,0.6205473485124899,0.47350553628307146,0.4470399959999971,-0.10053774911627596,0.5339664796196564,0.6970411276267306,0.5155209750840378,0.5363928211893153,-0.4649290269185501,-0.5293600183117857,0.2641821304328981,0.6234719901195475,0.7445221068328056,-0.363759789102937,0.6308983006887536,-0.32707076129908813,-0.4277622270654962,-0.4374237582457342,0.333972161544985,0.6477801822271388,,0.7339400923322531,0.5483657337903729,-0.26394836635494395,-0.64834593921162,0.7287390260951593,0.0012463691146470852,0.2929036864194862,0.6115332653212081,0.2114541085957244,0.8216121758728119
Temp_Min,0.006718214594819815,0.09557175318402004,0.8625329929113944,0.8037149040092026,0.6349935164128666,0.17619467258636246,0.1368640960371906,0.7066375364572766,0.17299959138884952,0.04248509214934797,0.7001259681537717,-0.5604166243228825,-0.59769744916105,0.30584201586803467,-0.19141023034943674,0.5233353957012331,-0.7398530306071074,-0.24534114537339838,-0.3872335221415622,-0.5163768965557899,-0.5731239217173242,0.33355459841902485,0.7297913638389906,,0.6797264027395274,0.7187497801236321,-0.4634199358225378,-0.7075175326699867,0.5163177522331033,-0.2734532695948652,0.32534890562992136,0.7892072152691456,0.15393108486105117,0.8265642577111634
Temp_Avg,0.34743065324654887,0.13497710873920762,0.8854814933114127,0.7443213762551025,0.5749891688273592,0.3455662208148419,0.03129777362532749,0.6415948096636316,0.7236194295421154,0.32518939242876405,0.6382494246268815,-0.5337600129788176,-0.5732658119809169,0.3064392768508036,0.41607902069060987,0.8009741528781038,-0.5874416645398542,0.2760938236882534,-0.39092737998452787,-0.5070966512539944,-0.5765930468981726,0.34491094993264465,0.7526069972824855,,0.7497965493182669,0.6554776962008689,-0.3819993014726911,-0.7132286268306693,0.701603958619628,-0.1354159871086403,0.3327118775084566,0.7296297987263906,0.1852728490722531,0.8665260588395918
Humidity,-0.5032755964372138,-0.07091398586498156,0.24187368591851946,0.07516238100845228,0.1830307063634107,-0.4308419345780168,0.16977315761847026,0.0808771253624075,-0.5309227991380823,-0.5379641219637724,0.04220030611463073,-0.2953631949398393,-0.16191041154569347,-0.00023956105435943257,-0.7917592756165633,-0.5318550703969755,-0.31016592939848064,-0.8124066318363613,-0.17337413565332127,-0.315846151175907,-0.27118934618372925,0.3624893859276682,-0.09269433994876822,,-0.4637396806905492,0.1496263855393904,-0.26129304676765314,-0.3588438827725139,-0.6354518812996379,-0.2615143202044878,0.08190737632378374,0.0496992809857048,-0.09543984476725077,0.23970917312495477
Rainfall,-0.45544740816506957,-0.2777429850474727,0.20598367953446348,0.22501353151097966,0.09968605617725843,-0.23242532428494406,0.1330979940128078,0.19198114687182152,-0.4893599653371394,-0.4112003181100534,0.17145676218152325,-0.10926989629967615,-0.08119914691425291,-0.023202814338813077,-0.4941101572223706,-0.41443865650194917,-0.4834965078535578,-0.5952992068265962,-0.23712366941606655,-0.21607640775493425,-0.3344107172001286,0.10224938078006351,0.03657104829641375,,-0.21567627588502467,0.11424586367939882,-0.4443602858069179,-0.08045335681611701,-0.34713610250546106,-0.26536066890904986,-0.010241364628210415,0.2170025593366558,-0.13309297123513641,0.22848069839836982
