cat__State_Andhra Pradesh,cat__State_Arunachal Pradesh,cat__State_Assam,cat__State_Bihar,cat__State_Chandigarh,cat__State_Chhattisgarh,cat__State_Dadra And Nagar Haveli And Daman And Diu,cat__State_Delhi,cat__State_Goa,cat__State_Gujarat,cat__State_Haryana,cat__State_Himachal Pradesh,cat__State_Jammu And Kashmir,cat__State_Jharkhand,cat__State_Karnataka,cat__State_Kerala,cat__State_Madhya Pradesh,cat__State_Maharashtra,cat__State_Manipur,cat__State_Meghalaya,cat__State_Mizoram,cat__State_Nagaland,cat__State_Odisha,cat__State_Other,cat__State_Puducherry,cat__State_Punjab,cat__State_Rajasthan,cat__State_Sikkim,cat__State_Tamil Nadu,cat__State_Telangana,cat__State_Tripura,cat__State_Uttar Pradesh,cat__State_Uttarakhand,cat__State_West Bengal,cat__Weekday_Friday,cat__Weekday_Monday,cat__Weekday_Saturday,cat__Weekday_Sunday,cat__Weekday_Thursday,cat__Weekday_Tuesday,cat__Weekday_Wednesday,cat__Season_Monsoon,cat__Season_Post-Monsoon,cat__Season_Summer,cat__Season_Winter,num__Shortage_MW,num__Energy_Met_MU,num__Drawal_Schedule_MU,num__OD_UD_MU,num__Max_OD_MW,num__Energy_Shortage_MU,num__Temp_Max,num__Temp_Min,num__Temp_Avg,num__Humidity,num__Rainfall,num__Year,num__Month,num__year,num__month,num__day,num__dayofweek,num__month_sin,num__month_cos,num__dow_sin,num__dow_cos
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.11295026621434609,0.5667255994806594,0.19121751508602317,0.16596113348710734,0.18290868956527584,-0.17445776464536475,0.5695561171628316,0.7511698417722772,0.6760109089032807,0.4429606218352314,-0.11797150242130429,-1.2922469451327672,-0.7967082477494509,-1.2922469451327672,-0.7967082477494509,-1.6597612971057212,0.9956204829105457,1.2864842666289615,-0.5410476461173866,-1.3743535137145593,-0.31596109079542795
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.11295026621434609,0.5073700009603909,0.18164744346303477,-0.3681340476667318,0.18001042436286868,-0.17445776464536475,0.6165784828725174,0.702534777660915,0.6760109089032807,0.4106534261065624,-0.2147444194820507,-1.2922469451327672,-0.7967082477494509,-1.2922469451327672,-0.7967082477494509,-1.5461820198939198,1.4950888369051405,1.2864842666289615,-0.5410476461173866,-1.1015035714641181,0.8814943821022457
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.11295026621434609,0.5587981963112856,0.19547088025179574,0.29074972721463993,0.6611224479624557,-0.17445776464536475,0.7145417447676966,0.7471169197629972,0.7496037375384957,0.3783462303778934,-0.4082902536035435,-1.2922469451327672,-0.7967082477494509,-1.2922469451327672,-0.7967082477494509,-1.4326027426821184,-1.5017212870624281,1.2864842666289615,-0.5410476461173866,0.00324329080135282,1.414412202502827
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.11295026621434609,0.5981021279913735,0.3493515557134958,0.13102032724339827,1.0060160070489066,-0.17445776464536475,0.6792749704854325,0.8403341259764417,0.7782231708966344,0.29757824105622194,-0.28030026652320145,-1.2922469451327672,-0.7967082477494509,-1.2922469451327672,-0.7967082477494509,-1.319023465470317,-1.0022529330678334,1.2864842666289615,-0.5410476461173866,1.1079901530668237,0.881494382102246
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.11295026621434609,0.6135572333299842,0.25015700381172856,0.4404960396876789,0.23507746320860454,-0.17445776464536475,0.8712829637999825,0.7876461398557991,0.8518159995318489,0.24911744746321876,-0.4676026866407751,-1.2922469451327672,-0.7967082477494509,-1.2922469451327672,-0.7967082477494509,-1.2054441882585156,-0.5027845790732386,1.2864842666289615,-0.5410476461173866,1.3808400953172648,-0.3159610907954276
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.11295026621434609,0.6515954451763067,0.2533470276860579,0.5453184584188062,0.2959410324591547,-0.17445776464536475,0.8125050066628751,0.7754873738279583,0.8150195852142419,0.2814246431918871,-0.4363856166211795,-1.2922469451327672,-0.7967082477494509,-1.2922469451327672,-0.7967082477494509,-1.0918649110467142,-0.003316225078643843,1.2864842666289615,-0.5410476461173866,0.6163315459135831,-1.2762458214580998
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.11295026621434609,0.65426011851055,0.27810768918680545,1.0344897458307338,0.9219663161790993,-0.17445776464536475,0.8438532504693322,0.7673815298093976,0.8272850566534441,0.18450305600588074,-0.48633292865253247,-1.2922469451327672,-0.7967082477494509,-1.2922469451327672,-0.7967082477494509,-0.978285633834913,0.49615212891595095,1.2864842666289615,-0.5410476461173866,-0.6098449643108771,-1.2762458214581
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.11295026621434609,0.5978356606579492,0.38398610063478666,1.0444728333289364,1.4320609918027578,-0.17445776464536475,0.8242605980902975,0.5647354293453882,0.7148515684607556,0.20065665387021558,-0.48633292865253247,-1.2922469451327672,-0.7967082477494509,-1.2922469451327672,-0.7967082477494509,-0.8647063566231116,0.9956204829105457,1.2864842666289615,-0.5410476461173866,-1.3743535137145593,-0.31596109079542795
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.11295026621434609,0.6105594758289608,0.3148689166909826,-0.4380156601541501,0.9074749901670636,-0.17445776464536475,0.9143867990338612,0.47557114514122373,0.7168958137006222,-0.05780091195913508,-0.48633292865253247,-1.2922469451327672,-0.7967082477494509,-1.2922469451327672,-0.7967082477494509,-0.7511270794113102,1.4950888369051405,1.2864842666289615,-0.5410476461173866,-1.1015035714641181,0.8814943821022457
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.11295026621434609,0.6461328648411081,0.3083369630435461,0.9446419583469102,1.5769742519231151,-0.17445776464536475,1.1220689142516407,0.4836769891597841,0.8293293018933114,-0.3001048799241506,-0.48633292865253247,-1.2922469451327672,-0.7967082477494509,-1.2922469451327672,-0.7967082477494509,-0.6375478021995088,-1.5017212870624281,1.2864842666289615,-0.5410476461173866,0.00324329080135282,1.414412202502827
