State,Temp_Max,Temp_Min,Temp_Avg,Humidity,Rainfall,Max_Demand_Met_MW
Andhra Pradesh,33.58818611414031,24.633515085423483,29.110850599781894,72.8887677208288,4.1694656488549615,10937.248636859324
Arunachal Pradesh,27.76750272628135,20.02230098146129,23.89490185387132,76.38713195201746,8.770774263904036,167.7568157033806
Assam,29.136786623046167,20.700763358778623,24.918774990912397,82.32315521628499,9.885169029443839,1941.154852780807
Bihar,31.854162122864413,21.83602326426754,26.845092693565977,67.80552526354053,3.6595056343147943,6228.884405670665
Chandigarh,30.075790621592148,19.340676117775356,24.708233369683754,60.532170119956376,2.2977099236641223,280.97164667393673
Chhattisgarh,32.32603711790393,22.18957423580786,27.257805676855895,65.0764192139738,5.377947598253275,5206.555676855895
Dadra And Nagar Haveli And Daman And Diu,31.56553980370774,23.328789531079607,27.447164667393675,71.58124318429662,5.512868047982552,1285.5408942202835
Delhi,31.63991275899673,20.855834242093785,26.247873500545257,61.8113413304253,2.691166848418757,5358.151581243184
Goa,32.18075245365322,22.911995637949836,27.546374045801528,78.87131952017448,10.621537622682661,681.9465648854962
Gujarat,33.66979280261723,23.59411123227917,28.6319520174482,61.0556161395856,4.105852417302799,20377.85387131952
Haryana,31.59918211559433,20.34269356597601,25.97093784078517,61.49454743729553,2.120937840785169,9359.885496183206
Himachal Pradesh,18.560196292257363,8.6613413304253,13.610768811341332,64.48909487459106,7.894165757906216,1774.2137404580153
Jammu And Kashmir,6.635005452562704,-6.02928026172301,0.3028625954198473,69.2535441657579,2.852235550708833,2653.2617230098144
Jharkhand,31.10119956379498,21.155125408942205,26.128162486368595,67.73773173391494,4.6430752453653215,1901.9629225736096
Karnataka,30.17019265721556,20.168084332969826,25.169138495092692,69.06397673573245,3.11693929480189,13491.652126499455
Kerala,30.067248273355144,24.014649218466012,27.040948745910576,84.39549254816431,9.52239185750636,4250.929116684842
Madhya Pradesh,31.45114503816794,21.032097419120323,26.241621228644128,60.68157033805889,3.505888767720829,13221.515812431842
Maharashtra,31.95456197746274,22.723664122137404,27.339113049800073,65.6612141039622,5.3738276990185385,25884.238822246454
Manipur,27.406543075245363,17.048418756815703,22.227480916030533,75.29880043620501,4.202944383860414,204.39258451472193
Meghalaya,21.215703380588877,13.219083969465649,17.217393675027264,84.54961832061069,5.53751363140676,326.2519083969466
Mizoram,28.89836423118866,18.096183206106872,23.497273718647765,80.33587786259542,6.18876772082879,124.40348964013086
Nagaland,23.083969465648856,15.192039258451473,19.138004362050165,78.44492911668485,6.6989094874591055,157.89749182115594
Odisha,32.49176663031625,23.08702290076336,27.789394765539804,73.01308615049074,5.680370774263904,5692.575790621592
Other,0.0,0.0,0.0,0.0,0.0,4354.604143947656
Puducherry,31.881461286804797,25.465103598691385,28.673282442748093,75.72846237731734,3.7960741548527808,443.6466739367503
Punjab,30.197928026172303,19.05327153762268,24.625599781897492,64.32170119956379,2.3253544165757907,10530.735005452563
Rajasthan,32.001344965467105,20.718793166121408,26.360069065794256,54.61941112322792,2.2620138131588514,14785.460196292257
Sikkim,26.219956379498367,17.20577971646674,21.712868047982553,77.83315158124319,15.123664122137404,90.76008724100328
Tamil Nadu,33.003925845147215,24.023409669211198,28.513667757179206,70.86186841148674,3.8018538713195205,16802.455834242093
Telangana,31.75806979280262,22.542093784078514,27.150081788440566,64.71155943293348,3.3474372955288985,12063.765539803708
Tripura,31.004471101417664,22.088985823336966,26.546728462377317,78.88985823336968,5.681897491821156,288.2246455834242
Uttar Pradesh,31.98099781897492,21.526444929116686,26.7537213740458,64.66275899672846,3.260114503816794,22822.137404580153
Uttarakhand,23.628462377317337,13.99247546346783,18.810468920392584,69.53762268266085,4.302399127589967,2237.1352235550708
West Bengal,30.558942202835333,22.010032715376227,26.28448745910578,75.96401308615049,8.232224645583424,9347.177753544165
